A2M
ABCA8
ACACB
ADGRG1
ADH1B
AHNAK
AKAP12
ARHGAP8
ASPM
BUB1
CA7
CALD1
CCL20
CD47
CDC42EP3
CDH11
CHP2
CKAP2
CLU
CXCL2
CXCL8
CYP3A5
DCN
DEFB1
DPT
ENC1
ENO1
EPPK1
FAXDC2
FBLN1
FERMT2
FGFR2
G3BP1
GPM6A
GPM6B
GTPBP4
HACD3
HBA1
HBA2
HPGD
ICAM1
IFI6
IGH
IGHA1
IGHA2
IGHG1
IGHM
IGHV4-31
IL1RN
JCHAIN
KANK2
LGALS4
LMO3
LOC100506558
LOC100996693
LOC339166
MATN2
MKI67
MXI1
MYB
MYO15B
NEDD4L
OIP5
PCK1
PLXNA2
PMP22
POU2AF1
PRKCB
PRR5-ARHGAP8
PRUNE2
PTGER4
RBPMS
RGS5
SERPINB5
SFRP1
SLC26A3
SMTN
SOBP
SOD2
SPEG
SPIB
SSBP1
SUPT20H
TACSTD2
TESC
TMEM176B
TNS1
WSCD1
WWTR1
